file_id,word,start_time_seconds,end_time_seconds,duration_seconds
audio1_1,<eps>,0.54,0.8700000000000001,0.33
audio1_1,hij,0.8700000000000001,1.02,0.14999999999999997
audio1_1,had,1.02,1.33,0.31000000000000005
audio1_1,geen,1.33,1.72,0.3899999999999999
audio1_1,zin,1.72,1.81,0.09000000000000008
audio1_1,in,1.81,1.95,0.1399999999999999
audio1_1,het,1.95,2.05,0.10000000000000009
audio1_1,werk,2.05,2.17,0.11999999999999988
audio1_1,<eps>,2.17,2.37,0.20000000000000018
audio1_2,<eps>,0.93,1.01,0.08
audio1_2,zij,1.01,1.1600000000000001,0.15000000000000002
audio1_2,<eps>,1.1600000000000001,1.19,0.03
audio1_2,vond,1.19,1.33,0.14
audio1_2,geen,1.33,1.42,0.08999999999999997
audio1_2,sleutels,1.42,1.92,0.5
audio1_2,in,1.92,2.0500000000000003,0.13000000000000012
audio1_2,de,2.0500000000000003,2.5500000000000003,0.5
audio1_2,<unk>,2.5500000000000003,2.7,0.1499999999999999
